,department_id,product_id,product_name
0,19,1,Chocolate Sandwich Cookies
3,1,4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce
9,7,10,Sparkling Orange Juice & Prickly Pear Beverage
10,7,11,Peach Mango Juice
22,12,23,Organic Turkey Burgers
24,19,25,Salted Caramel Lean Protein & Fiber Bar
25,8,26,Fancy Feast Trout Feast Flaked Wet Cat Food
27,14,28,Wheat Chex Cereal
28,15,29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn
33,14,34,Peanut Butter Cereal
34,12,35,Italian Herb Porcini Mushrooms Chicken Sausage
36,15,37,Noodle Soup Mix With Chicken Broth
42,4,43,Organic Clementines
43,7,44,Sparkling Raspberry Seltzer
44,4,45,European Cucumber
48,20,49,Vegetarian Grain Meat Sausages Italian - 4 CT
53,8,54,24/7 Performance Cat Litter
56,17,57,Flat Toothpicks
62,18,63,Banana & Sweet Potato Organic Teething Wafers
65,4,66,European Style Spring Mix
69,6,70,Sweet Cooking Rice Seasoning
76,19,77,Coconut Chocolate Chip Energy Bar
78,15,79,Wild Albacore Tuna No Salt Added
82,3,83,100% Whole Wheat Pita Bread
86,7,87,Classics Earl Grey Tea
92,19,93,Uncured Cracked Pepper Beef
93,18,94,Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups
94,6,95,Organic Rice Vinegar
95,13,96,Sprinklez Confetti Fun Organic Toppings
96,7,97,Organic Chamomile Lemon Tea
98,4,99,Local Living Butter Lettuce
99,1,100,Peanut Butter & Strawberry Jam Sandwich
101,19,102,Danish Butter Cookies
105,18,106,Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal
110,17,111,"Fabric Softener, Geranium Scent"
115,3,116,English Muffins
116,16,117,Petit Suisse Fruit
120,16,121,Sharp Cheddar
121,13,122,Pomegranate Molasses
122,13,123,Sherry Reserve Vinegar
126,16,127,Marscapone
127,1,128,Organic Wild Blueberries
129,1,130,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack
137,20,138,Olli Napoli Salami
140,19,141,Restaurant Style Organic Chia & Quinoa Tortilla Chips
147,4,148,Nectarines
148,13,149,Wild Blueberry All Natural Fruit Spread
159,13,160,100% Recycled Aluminum Foil
161,1,162,Organic Mini Homestyle Waffles
164,9,165,Wild Chanterelle Mushroom Ravioli
168,16,169,Extra Sharp Cheddar Cheese
180,15,181,Country Style Baked Beans
183,19,184,Kisses Milk Chocolate Candy
185,17,186,Fresh Scent Dishwasher Detergent with Dawn
187,20,188,Mild El Nino Salsa
193,12,194,Lamb Rib Chops
195,7,196,Soda
198,4,199,Herb Thyme Clamshell
203,17,204,Free & Clear Natural Laundry Detergent For Sensitive Skin
206,19,207,Minis Candy Bars
209,9,210,Homemade Hot Arrabbiata Fra Diavolo Sauce
210,14,211,Gluten Free Organic Cereal Coconut Maple Vanilla
214,6,215,Sambal Oelek Ground Fresh Chili Paste
215,14,216,"Gluten Free Oatmeal, Variety Pack"
216,16,217,"String Cheese, Mozzarella"
218,18,219,Totz Toothbrush Extra Soft 18+ Months
221,14,222,Honey Nut Oatmeal Squares
225,16,226,Shaved Parmesan Cheese
227,15,228,Organic Soups Lentil
238,19,239,Chicharrones Picante Flavor Pork Rinds
241,19,242,Original Red Twists
245,17,246,Triple-Acting Laundry Stain Remover
247,19,248,Dried Sweetened Cranberries
255,19,256,Island Fruits Fruit Snacks
257,1,258,Vegetable Pot Pie
259,4,260,Cantaloupe
260,1,261,Organic Southwestern Burrito
263,16,264,Non-Fat Blueberry on the Bottom Greek Yogurt
269,17,270,OneZip Storage Bags Quart Size Value Pack
272,19,273,Thin Stackers Brown Rice  Salt Free
273,17,274,Snack Bags
274,19,275,Caramel Sauce
275,1,276,French Vanilla Ice Cream
276,7,277,Diet Root Beer
277,9,278,Instant Mashed Potatoes
278,7,279,Everyday Detox Dandelion Tea
279,11,280,Makeup Remover Cleansing Towelettes
280,7,281,Chai Tea Bags
282,9,283,Organic Whole Wheat Elbows
284,19,285,Mini Nilla Wafers Munch Pack
285,13,286,Lite Poppy Seed Dressing Lite
286,20,287,Turkey
287,14,288,Original Sprouted Grains Protein & Fiber Hot Oatmeal
293,19,294,Minis Original Saltine Crackers
299,13,300,Organic Enriched Unbleached White Flour
304,13,305,Wild Forest Raw Neem Honey
306,16,307,Precious Mozzarella Cheese
309,19,310,"Crackers, Puffed, Corn, Quinoa & Sesame"
310,1,311,Naturals Savory Turkey Breakfast Sausage
318,1,319,Steamfresh Chef's Favorites Lightly Sauced Roasted Red Potatoes & Green Beans
321,1,322,Brooklyn Pizza Dough
324,1,325,Veggie-Style Mini Corn Dogs
326,1,327,"Green Peas, Organic, Petite"
328,16,329,Organic Whole Grassmilk Milk
329,6,330,Chilpotles in Adobo Sauce
333,7,334,Sparkling Raspberry Lemonade Water Beverage
339,14,340,Eco-Pac Kamut Puffs Cereal
342,4,343,Organic Whole Peeled Baby Carrots
346,4,347,"Vegetable Salad Kit, Sweet Kale"
349,5,350,Mixed 12 Pack Lion's Share Ale
350,11,351,Go Fresh Nutrium Moisture Body Wash Blue Fig & Orange Blossom Scent
351,16,352,Colby Jack & Mild Cheddar Combo Pack
353,17,354,Twist n Loc Small Round Containers + Lids
364,14,365,Cheerios Cereal
377,17,378,Powerball Quantum Max Shine & Protect Automatic Dishwasher Detergent
387,9,388,Stove Top Stuffing Mix for Turkey
388,4,389,Mache Blend
396,13,397,Pure Granulated Cane Sugar
400,11,401,"Flat Floss, Antiplaque, Naturally Waxed, Spearmint"
402,20,403,Ultra Thin Pastrami
404,15,405,100% Organic Diced Tomatoes
417,9,418,Whole Grain Linguine Pasta
420,16,421,Garlic & Herb Fresh Goat Cheese
423,9,424,Linguine Pasta
